Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/cheyennerofr/AlzheimersDiseaseClassification	cheyennerofr	cheyennerofr	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/krishangmain/ADNI	krishangmain	krishangmain	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/kaurrachneet6/Alzheimer-and-Dementia-Study	kaurrachneet6	kaurrachneet6	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/vaibhavi5/ADNIClassification	vaibhavi5	vaibhavi5	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/yingjiegaryzhou/ADNI3_TauPET_TDA	yingjiegaryzhou	yingjiegaryzhou	R
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/2003UJAN/Alzheimer-ADNI-Ensemble-Learning	2003UJAN	2003UJAN	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/jtnachbar/ADNI_CNN	jtnachbar	jtnachbar	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/anyagupta23/Alzheimer-s-LSTM-ADNI	anyagupta23	anyagupta23	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Abhinav-Vadlamani/ADNI-AD-Detection	Abhinav-Vadlamani	Abhinav-Vadlamani	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/NamithaHaridas/Denoising_AE_ADNI	NamithaHaridas	NamithaHaridas	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/ZhiyinL/Alzheimer_Imaging_Classification_Neural_Network	ZhiyinL	ZhiyinL	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/matteofrigo/ohbm19hackaton_adnidmipy	matteofrigo	matteofrigo; sebastientourbier; fliem; amrka	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/CarlosTheran/REU-ADNIC-2021	CarlosTheran	CarlosTheran	
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/tarunmahesh/alzheimers-classify	tarunmahesh	tarunmahesh	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/abhatfnal/adni-mri-classification	abhatfnal	abhatfnal	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/vipul105/MLforADNI_streamlit	vipul105	vipul105	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/zhouqingping/Alzheimers-Disease-Diagnosis	zhouqingping	nithinvc	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Besma-Mabrouk/Brain_Connectome_ADNI_4_Alzheimer-s_Stages	Besma-Mabrouk	Besma-Mabrouk	
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/suletekkesinoglu/GCN_XAI_ADNI	suletekkesinoglu	suletekkesinoglu	
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/anyagupta23/ADNI-5-Class-Alzheimer-s-ViT-Notebook	anyagupta23	anyagupta23	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/aghafoor1208/Alzheimer-s-Disease-Classification-Using-ADNI-MRI-Dataset	aghafoor1208	aghafoor1208	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/coolperson111/Alzheimers_is_Deep	coolperson111	coolperson111	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Cygnus101/AlzheimersDetection	Cygnus101	Cygnus101	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/palsrane/ApoExSexInteractionEffectinPreDementiaAD	palsrane	palsrane	R
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/kdk2612/ADNI-Dementia-Detection	kdk2612	kdk2612	CSS
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/cind/ApoExSexInteractionEffectinPreDementiaAD_PallaviR	cind	palsrane	R
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/mdrajab/CFAS-and-ADNI-Neuropathology	mdrajab	mdrajab	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Abdul-Karim1/Grey-Matter-Abnormalities-Detection-in-Dementia-Patients-using-Deep-Learning-on-ADNI-Images-FYP	Abdul-Karim1	Abdul-Karim1	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/Rudra-200/Alzheimer-s-Disease-Classification	Rudra-200	Rudra-200; kushaldn25	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/neuro-ml/resnet_cnn_mri_adni	neuro-ml	libfun; amigoml	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/gkarozis/ADNI_thesis_project	gkarozis	gkarozis	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/djrumala/ADNI-processing	djrumala	djrumala	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/FahimFBA/organize-ADNI	FahimFBA	FahimFBA	HTML
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/teogelles/Superpixel-Brain-Segmentation	teogelles	teogelles	Matlab
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN	xiaoxingxingkz	xiaoxingxingkz	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/JGarciaCondado/ADNIBrainAge	JGarciaCondado	JGarciaCondado	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/gama-ufsc/brain-age	gama-ufsc	brunompacheco; victor-hro	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/asharifisadr/MRI-Preprocessing	asharifisadr	asharifisadr	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/roman-studer/fhnw_ds_fs22_cdl1_cml1_Brain_Health_Challenge	roman-studer	a-coding-Kat; roman-studer; BrunoKreiner	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/ritikarana9999/ADNI_Brain_Visual_Transformer_47306725	ritikarana9999	ritikarana9999	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN-MindSpore	xiaoxingxingkz	xiaoxingxingkz	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/H-Snoussi/ADNI3-Blueprints	H-Snoussi	H-Snoussi	Shell
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/caroline-dartora/paper1_adni_brainage	caroline-dartora	caroline-dartora	Jupyter Notebook
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/binotation/adni-classifier	binotation	binotation	Python
Alzheimer's Disease Neuroimaging Initiative	ADNI	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	https://github.com/SixLeopard/Stable-Diffusion	SixLeopard	SixLeopard	Python
Global Parkinson's Genetics Program	GP2	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	https://github.com/LeonardoHDL/GP2_Bioinformatics_workshop	LeonardoHDL	LeonardoHDL	Jupyter Notebook
Global Parkinson's Genetics Program	GP2	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	https://github.com/GP2code/GP2-AFR-AAC-metaGWAS	GP2code	m-makarious	Jupyter Notebook
Global Parkinson's Genetics Program	GP2	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	https://github.com/GP2code/GP2-mitochondrial-PRS	GP2code	is-mariam	Jupyter Notebook
Global Parkinson's Genetics Program	GP2	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	https://github.com/mkoretsky1/pathogenic_pd_variants	mkoretsky1	mkoretsky1; sammyhong23	Jupyter Notebook
Global Parkinson's Genetics Program	GP2	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	https://github.com/LeonardoHDL/GP2_Transcriptomics_PDD_PDNCI	LeonardoHDL	LeonardoHDL	Jupyter Notebook
Global Parkinson's Genetics Program	GP2	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	https://github.com/GP2code/GP2-global-genetic-variant-landscape	GP2code	is-mariam	Jupyter Notebook
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/thudaUSF/ADSP-dl-process	thudaUSF	thudaUSF	Python
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/EpistasisLab/tpot	EpistasisLab	perib; jay-m-dev; jgh9094; nickotto; gketronDS; nickmatsumoto; ethanglaser; john-sandall; theaksaini	Jupyter Notebook
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/EpistasisLab/tpot2	EpistasisLab	perib; jay-m-dev; jgh9094; nickotto; nickmatsumoto; gketronDS; ethanglaser; theaksaini	Jupyter Notebook
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/EpistasisLab/Aliro	EpistasisLab	djfunksalot; weixuanfu; Coder-Sharon; hjwilli; Kaixhin; lacava; HyunjunA; jay-m-dev; joshc0044; mgstauffer; dependabot[bot]; JDRomano2; sophiavmoses; rhiever; nickotto; miguelehernandez; nupurbaghel; athril; augustearth	JavaScript
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/EpistasisLab/AlzKB	EpistasisLab	JDRomano2; jay-m-dev; xixilili; nickotto; van-truong; PaulWangCS	Python
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/ZhiGroup/DeepENDO	ZhiGroup	khushpatelmd	Python
Alzheimer's Disease Sequencing Project	ADSP	Alzheimer's Disease	https://github.com/RitchieLab/biofilter	RitchieLab	XueqiongLi; van-truong; vermaa1; scdudek	Python
